sec_code,sec_name,announcement_id,announcement_title,announcement_date,doc_type,section_status,tech_text_compact_chars,chunk_count,chunks,completed_chunks,original_compact_chars,summary_compact_chars,original_length_units,summary_length_units,sentence_count_sum,summary_sentence_count_sum,high_score_count_sum,high_score_share_mean,summary_high_score_gap_mean,relevant_score_mean,n0_sum,n1_sum,n2_sum,n3_sum,n4_sum,n5_sum,llm_complete,length_mode,redundancy_partial,redundancy,source_shard
688559,海目星,1208358657,首次公开发行股票并在科创板上市招股说明书,2020-09-01,final_prospectus,ok,102803,18,18,18,102803,4329,68180,2171,1344,87,732,0.4041341307530579,-35.833333333333336,2.5184161239167113,131,202,156,123,695,37,True,token_proxy,31.404882542607098,31.404882542607098,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688551,科威尔,1208379307,首次公开发行股票并在科创板上市招股说明书,2020-09-03,final_prospectus,ok,101453,16,16,16,101453,4195,63258,2103,895,88,181,0.2730086492113744,-5.8125,2.1285628131274863,183,240,157,134,136,45,True,token_proxy,30.079885877318116,30.079885877318116,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688577,浙海德曼,1208419956,首次公开发行股票并在科创板上市招股说明书,2020-09-10,final_prospectus,ok,93871,16,16,16,93871,3847,60667,1926,833,88,179,0.2734835018831125,-5.6875,2.0844137335002464,196,197,138,123,144,35,True,token_proxy,31.49896157840083,31.49896157840083,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688127,蓝特光学,1208445117,首次公开发行股票并在科创板上市招股说明书,2020-09-16,final_prospectus,ok,84148,14,14,14,84148,3425,53417,1716,795,81,148,0.1880855849322796,-4.785714285714286,1.908386349534252,163,211,142,131,111,37,True,token_proxy,31.12878787878788,31.12878787878788,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688536,思瑞浦,1208436947,首次公开发行股票并在科创板上市招股说明书,2020-09-15,final_prospectus,ok,57098,10,10,10,57098,2428,35871,1216,512,54,97,0.2364603437184082,-4.3,1.9457780660200017,126,138,82,69,68,29,True,token_proxy,29.49917763157895,29.49917763157895,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688156,路德环境,1208445081,首次公开发行股票并在科创板上市招股说明书,2020-09-16,final_prospectus,ok,97573,17,17,17,97573,4325,64978,2167,871,94,222,0.3398662874166221,-7.529411764705882,2.383607605302029,175,192,150,132,152,70,True,token_proxy,29.985233041070604,29.985233041070604,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688526,科前生物,1208450303,首次公开发行股票并在科创板上市招股说明书,2020-09-17,final_prospectus,ok,132364,24,24,24,132364,5634,91267,2822,1406,120,287,0.2414844094164156,-6.958333333333333,2.1492221120414707,224,331,208,207,224,63,True,token_proxy,32.34124734231042,32.34124734231042,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688013,天臣医疗,1208474196,首次公开发行股票并在科创板上市招股说明书,2020-09-23,final_prospectus,ok,109385,18,18,18,109385,4390,66732,2201,1263,81,600,0.3097626530846769,-28.833333333333332,2.0858843108012937,198,233,134,98,576,24,True,token_proxy,30.318945933666516,30.318945933666516,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688585,上纬新材,1208474233,首次公开发行股票并在科创板上市招股说明书,2020-09-23,final_prospectus,ok,115869,20,20,20,115869,5290,75201,2649,1129,100,239,0.1809435695744365,-6.95,1.7913320240328972,212,318,206,154,201,38,True,token_proxy,28.388448471121176,28.388448471121176,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688093,世华科技,1208486409,首次公开发行股票并在科创板上市招股说明书,2020-09-24,final_prospectus,ok,104852,17,17,17,104852,4085,63993,2046,893,92,202,0.2494348557336364,-6.470588235294118,2.080881055764548,145,241,165,140,164,38,True,token_proxy,31.277126099706745,31.277126099706745,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688330,宏力达,1208514506,首次公开发行股票并在科创板上市招股说明书,2020-09-30,final_prospectus,ok,104676,18,18,18,104676,4151,69208,2082,1039,91,242,0.2242954046897426,-8.38888888888889,1.955546143647438,205,258,188,146,206,36,True,token_proxy,33.24111431316042,33.24111431316042,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688386,泛亚微透,1208539239,首次公开发行股票并在科创板上市招股说明书,2020-10-13,final_prospectus,ok,84158,16,16,16,84158,3600,58122,1802,994,80,412,0.3186285644323899,-20.75,2.303637891605498,132,180,143,127,389,23,True,token_proxy,32.25416204217536,32.25416204217536,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688788,科思科技,1208563318,首次公开发行股票并在科创板上市招股说明书,2020-10-15,final_prospectus,ok,105287,17,17,17,105287,4348,64473,2178,965,93,184,0.1943681592253534,-5.352941176470588,2.0040226910867496,182,245,183,171,122,62,True,token_proxy,29.60192837465565,29.60192837465565,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688129,东来技术,1208580816,首次公开发行股票并在科创板上市招股说明书,2020-10-19,final_prospectus,ok,83727,15,15,15,83727,3716,55446,1861,754,76,188,0.3178326900101094,-7.466666666666667,2.1108657026141833,208,163,104,91,156,32,True,token_proxy,29.793659322944652,29.793659322944652,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688179,阿拉丁,1208585708,首次公开发行股票并在科创板上市招股说明书,2020-10-20,final_prospectus,ok,121486,20,20,20,121486,4839,75995,2425,1036,104,274,0.3122809044712548,-8.5,2.1735171366864914,215,264,153,130,196,78,True,token_proxy,31.338144329896902,31.338144329896902,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688529,豪森股份,1208675346,首次公开发行股票并在科创板上市招股说明书,2020-11-03,final_prospectus,ok,115293,19,19,19,115293,4500,73051,2253,1070,97,257,0.2847261869034947,-8.421052631578947,2.030945734511849,256,259,176,122,221,36,True,token_proxy,32.42387927208167,32.42387927208167,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688057,金达莱,1208699128,首次公开发行股票并在科创板上市招股说明书,2020-11-06,final_prospectus,ok,163004,28,28,28,163004,7144,108549,3578,1540,142,340,0.242616805131206,-7.071428571428571,2.1247891769409972,276,366,217,226,287,53,True,token_proxy,30.337898267188372,30.337898267188372,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688135,利扬芯片,1208691414,首次公开发行股票并在科创板上市招股说明书,2020-11-05,final_prospectus,ok,76507,13,13,13,76507,3366,48241,1685,767,70,188,0.2059344362300519,-9.076923076923077,1.8737235134758736,154,194,132,99,163,25,True,token_proxy,28.62967359050445,28.62967359050445,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688160,步科股份,1208699109,首次公开发行股票并在科创板上市招股说明书,2020-11-06,final_prospectus,ok,70827,12,12,12,70827,2877,45475,1442,736,60,93,0.123718809360808,-2.75,1.7110536720162388,149,199,136,101,69,24,True,token_proxy,31.53606102635229,31.53606102635229,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688219,会通股份,1208714521,首次公开发行股票并在科创板上市招股说明书,2020-11-10,final_prospectus,ok,77299,13,13,13,77299,3606,50498,1808,775,67,138,0.2011810373973084,-5.461538461538462,1.8865997841311664,207,192,121,117,101,37,True,token_proxy,27.930309734513273,27.930309734513273,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
688777,中控技术,1208751864,首次公开发行股票并在科创板上市招股说明书,2020-11-17,final_prospectus,ok,87243,14,14,14,87243,3721,54352,1864,860,76,131,0.1916623224972371,-3.928571428571429,1.8749322989525945,192,249,161,127,93,38,True,token_proxy,29.1587982832618,29.1587982832618,siliconflow_glm4_32b_table2_next100_after200_shard2_20260708
688557,兰剑智能,1208805654,首次公开发行股票并在科创板上市招股说明书,2020-11-27,final_prospectus,ok,112949,19,19,19,112949,4264,72675,2137,1126,101,325,0.3155656436319653,-11.789473684210526,2.200152523238374,203,278,167,153,288,37,True,token_proxy,34.007955077211044,34.007955077211044,siliconflow_glm4_32b_table2_next100_after200_shard2_20260708
688578,艾力斯,1208793559,首次公开发行股票并在科创板上市招股说明书,2020-11-25,final_prospectus,ok,111740,20,20,20,111740,4461,74571,2238,1055,102,227,0.2049979537378191,-6.25,1.8745383207235444,221,306,157,144,162,65,True,token_proxy,33.320375335120644,33.320375335120644,siliconflow_glm4_32b_table2_next100_after200_shard2_20260708
688590,新致软件,1208820884,首次公开发行股票并在科创板上市招股说明书,2020-12-01,final_prospectus,ok,76622,12,12,12,76622,3066,45524,1536,710,67,95,0.1337686199978725,-2.3333333333333335,1.738800692595759,149,211,139,116,70,25,True,token_proxy,29.638020833333332,29.638020833333332,siliconflow_glm4_32b_table2_next100_after200_shard2_20260708
688308,欧科亿,1208859875,首次公开发行股票并在科创板上市招股说明书,2020-12-07,final_prospectus,ok,74278,14,14,14,74278,3349,51879,1679,600,67,93,0.2619723216933274,-1.8571428571428572,1.9928363012143884,134,176,118,79,73,20,True,token_proxy,30.89874925550923,30.89874925550923,siliconflow_glm4_32b_table2_next100_after200_shard2_20260708
688571,杭华股份,1208850265,杭华油墨股份有限公司科创板首次公开发行股票招股说明书,2020-12-04,final_prospectus,ok,86429,16,16,16,86429,3788,59019,1897,752,83,202,0.3394785476796831,-7.4375,2.417206568426857,123,174,116,137,170,32,True,token_proxy,31.11175540326832,31.11175540326832,siliconflow_glm4_32b_table2_next100_after200_shard2_20260708
688136,科兴制药,1208859873,首次公开发行股票并在科创板上市招股说明书,2020-12-07,final_prospectus,ok,101166,18,18,18,101166,4029,68097,2017,892,97,159,0.2514329949772175,-3.4444444444444446,2.035111653186218,216,223,141,153,132,27,True,token_proxy,33.76152702032722,33.76152702032722,siliconflow_glm4_32b_table2_next100_after200_shard2_20260708
688510,航亚科技,1208870807,首次公开发行股票并在科创板上市招股说明书,2020-12-09,final_prospectus,ok,86089,15,15,15,86089,3501,54402,1755,751,78,240,0.3351023312550827,-10.8,2.348149815481748,123,160,108,120,145,95,True,token_proxy,30.9982905982906,30.9982905982906,siliconflow_glm4_32b_table2_next100_after200_shard2_20260708
688608,恒玄科技,1208870808,首次公开发行股票并在科创板上市招股说明书,2020-12-09,final_prospectus,ok,59423,10,10,10,59423,2589,37323,1296,503,53,106,0.3073261054543034,-5.3,2.1173507886255383,104,149,79,65,91,15,True,token_proxy,28.79861111111111,28.79861111111111,siliconflow_glm4_32b_table2_next100_after200_shard2_20260708
688699,明微电子,1208896828,首次公开发行股票并在科创板上市招股说明书,2020-12-14,final_prospectus,ok,79381,14,14,14,79381,3338,51549,1673,727,74,135,0.2035522808464966,-4.357142857142857,2.0256240767225195,150,179,126,137,107,28,True,token_proxy,30.81231320980275,30.81231320980275,siliconflow_glm4_32b_table2_next100_after200_shard2_20260708
688668,鼎通科技,1208901343,首次公开发行股票并在科创板上市招股说明书,2020-12-15,final_prospectus,ok,67984,12,12,12,67985,3206,43579,1605,634,64,115,0.2089164173423809,-4.25,1.9604664552897415,127,171,126,95,84,31,True,token_proxy,27.15202492211838,27.15202492211838,siliconflow_glm4_32b_table2_next100_after200_shard2_20260708
688560,明冠新材,1208928638,首次公开发行股票并在科创板上市招股说明书,2020-12-18,final_prospectus,ok,74293,14,14,14,74293,3263,50493,1635,706,65,191,0.2664076460077118,-9.0,1.9750680533350051,153,180,99,83,170,21,True,token_proxy,30.88256880733945,30.88256880733945,siliconflow_glm4_32b_table2_next100_after200_shard2_20260708
688658,悦康药业,1208928643,首次公开发行股票并在科创板上市招股说明书,2020-12-18,final_prospectus,ok,115743,21,21,21,115743,4906,78874,2459,1061,101,241,0.2601358163990255,-6.666666666666667,2.1374741593686255,217,241,163,199,178,63,True,token_proxy,32.07564050427003,32.07564050427003,siliconflow_glm4_32b_table2_next100_after200_shard2_20260708
688679,通源环境,1208928608,首次公开发行股票并在科创板上市招股说明书,2020-12-18,final_prospectus,ok,64755,11,11,11,64755,2483,41614,1244,643,51,194,0.2427839428203241,-13.0,1.9472971255350588,139,144,83,83,171,23,True,token_proxy,33.451768488745984,33.451768488745984,siliconflow_glm4_32b_table2_next100_after200_shard2_20260708
688698,伟创电气,1208972449,首次公开发行股票并在科创板上市招股说明书,2020-12-24,final_prospectus,ok,89579,16,16,16,89579,4324,59609,2164,917,85,262,0.3111544085765043,-11.0625,2.169936803429986,230,202,118,105,220,42,True,token_proxy,27.545748613678377,27.545748613678377,siliconflow_glm4_32b_table2_next100_after200_shard2_20260708
688063,派能科技,1208972447,首次公开发行股票并在科创板上市招股说明书,2020-12-24,final_prospectus,ok,89565,15,15,15,89565,3868,57212,1937,747,79,136,0.2961317191851119,-3.8,2.1425659925567233,161,220,127,103,97,39,True,token_proxy,29.536396489416624,29.536396489416624,siliconflow_glm4_32b_table2_next100_after200_shard2_20260708
688618,三旺通信,1208981799,首次公开发行股票并在科创板上市招股说明书,2020-12-25,final_prospectus,ok,92674,16,16,16,92674,3688,58303,1848,839,83,177,0.2537290956144549,-5.875,2.018594698419832,163,237,138,124,155,22,True,token_proxy,31.549242424242426,31.549242424242426,siliconflow_glm4_32b_table2_next100_after200_shard2_20260708
688686,奥普特,1209001449,首次公开发行股票并在科创板上市招股说明书,2020-12-28,final_prospectus,ok,80132,14,14,14,80132,3946,51153,1978,749,71,269,0.3338237330172813,-14.142857142857142,2.336403448701836,120,151,101,108,234,35,True,token_proxy,25.86097067745197,25.86097067745197,siliconflow_glm4_32b_table2_next100_after200_shard2_20260708
688617,惠泰医疗,1209037066,首次公开发行股票并在科创板上市招股说明书,2021-01-04,final_prospectus,ok,135955,24,24,24,135955,5736,92315,2874,1302,103,145,0.1433927034433064,-1.75,1.6191378703180876,397,266,146,162,115,30,True,token_proxy,32.120737647877526,32.120737647877526,siliconflow_glm4_32b_table2_next100_after200_shard2_20260708
688656,浩欧博,1209065383,首次公开发行股票并在科创板上市招股说明书,2021-01-08,final_prospectus,ok,87471,15,15,15,87471,3323,56562,1666,917,80,248,0.2485465168594571,-11.2,2.074667128007877,168,225,159,117,183,65,True,token_proxy,33.95078031212485,33.95078031212485,siliconflow_glm4_32b_table2_next100_after200_shard2_20260708
688317,之江生物,1209084097,首次公开发行股票并在科创板上市招股说明书,2021-01-12,final_prospectus,ok,159406,26,26,26,159406,6062,100907,3038,1622,109,148,0.0992277062601894,-1.5,1.62912828098914,292,627,203,294,109,39,True,token_proxy,33.214944042132984,33.214944042132984,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688819,天能股份,1209078953,首次公开发行股票并在科创板上市招股说明书,2021-01-11,final_prospectus,ok,67304,11,11,11,67304,2935,42489,1470,641,62,98,0.1523559581696073,-3.272727272727273,1.7706535777758707,137,193,114,99,69,29,True,token_proxy,28.90408163265306,28.90408163265306,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688680,海优新材,1209135684,首次公开发行股票并在科创板上市招股说明书,2021-01-19,final_prospectus,ok,67284,12,12,12,67284,2673,45606,1339,686,62,180,0.2317526099448142,-9.833333333333334,1.943822182397451,145,166,109,86,151,29,True,token_proxy,34.05974607916355,34.05974607916355,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688669,聚石化学,1209135619,首次公开发行股票并在科创板上市招股说明书,2021-01-19,final_prospectus,ok,87951,16,16,16,87951,3619,60633,1814,970,73,248,0.2585468939092041,-10.9375,2.122983870967742,176,176,114,112,220,28,True,token_proxy,33.42502756339581,33.42502756339581,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688689,银河微电,1209135763,首次公开发行股票并在科创板上市招股说明书,2021-01-19,final_prospectus,ok,99023,18,18,18,99023,3936,68391,1974,1172,91,583,0.4010352707110192,-27.333333333333332,2.575225318576799,126,181,139,143,518,65,True,token_proxy,34.64589665653495,34.64589665653495,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688350,富淼科技,1209178371,首次公开发行股票并在科创板上市招股说明书,2021-01-25,final_prospectus,ok,100556,17,17,17,100556,6962,64830,3485,965,76,172,0.2026837052734243,-5.647058823529412,1.8566262663348203,197,241,135,90,149,23,True,token_proxy,18.6025824964132,18.6025824964132,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688607,康众医疗,1209195030,首次公开发行股票并在科创板上市招股说明书,2021-01-27,final_prospectus,ok,90986,15,15,15,90986,3819,56730,1915,798,78,177,0.2419659473016299,-6.6,2.06774865262712,161,213,128,119,109,68,True,token_proxy,29.62402088772846,29.62402088772846,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688628,优利德,1209188011,首次公开发行股票并在科创板上市招股说明书,2021-01-26,final_prospectus,ok,155437,27,27,27,155437,7639,104663,3827,1577,143,515,0.3191361048372637,-13.77777777777778,2.237667012233072,291,326,234,211,463,52,True,token_proxy,27.34857590802195,27.34857590802195,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
688059,华锐精密,1209233825,华锐精密首次公开发行股票并在科创板上市招股说明书,2021-02-03,final_prospectus,ok,63133,11,11,11,63133,2692,42706,1349,634,60,92,0.1459250130475734,-2.909090909090909,1.7387069797728107,151,171,121,99,68,24,True,token_proxy,31.657524091919942,31.657524091919942,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
