sec_code,sec_name,chunk_count,original_length_units,summary_length_units,relevant_score_mean,Redundancy
688793,倍轻松,15,53080,965,2.0324298767078917,55.005181347150256
688280,精进电动,15,57693,1097,1.7546471246089623,52.59161349134002
688375,国博电子,10,37385,724,1.8273318917248649,51.636740331491715
688256,寒武纪,10,39263,765,1.882842411052924,51.32418300653595
688561,奇安信,20,76440,1574,1.9979584128611303,48.564167725540024
688302,海创药业,15,58113,1228,2.039492315159316,47.32328990228013
688071,华依科技,15,56305,1233,1.9491381112715547,45.66504460665045
688062,迈威生物,15,57151,1281,2.158476859298112,44.614363778298205
688177,百奥泰,19,74121,1675,2.1035398499274303,44.25134328358209
688317,之江生物,22,82212,1956,2.403654562372248,42.030674846625764
688767,博拓生物,16,62005,1482,2.230195389048811,41.838731443994604
688105,诺唯赞,14,52682,1264,2.19395498004471,41.67879746835443
688111,金山办公,18,69007,1679,2.228582488210398,41.10005955926147
688096,京源环保,16,60350,1487,2.4569622661950214,40.58507061197041
688625,呈和科技,10,38961,963,2.056332317180997,40.45794392523364
688558,国盛智科,17,64335,1593,2.2449697557539805,40.38606403013183
688100,威胜信息,18,69484,1727,1.9537825537739124,40.23393167342212
688350,富淼科技,14,51751,1289,2.107684796955641,40.148176881303336
688501,青达环保,14,51370,1281,2.127077548522282,40.10148321623731
688261,东微半导,9,34326,856,2.246406637741291,40.100467289719624
688448,磁谷科技,9,31805,796,2.0169141968218156,39.95603015075377
688300,联瑞新材,17,66300,1663,2.0259120961754307,39.867708959711365
688288,鸿泉物联,16,59681,1501,2.009194405080442,39.76082611592272
688327,云从科技,16,58350,1473,2.2114667246967046,39.61303462321792
688667,菱电电控,13,49502,1263,2.101163389542049,39.19398258115598
688285,高铁电气,12,45142,1153,1.985480697144115,39.15177797051171
688739,成大生物,12,45357,1159,2.100663376660401,39.13459879206212
688338,赛科希德,15,54937,1422,2.245911581091173,38.63361462728551
688777,中控技术,12,45036,1166,2.3756417596474213,38.62435677530017
688500,慧辰资讯,14,51522,1338,2.2468210758132376,38.506726457399104
688289,圣湘生物,16,59571,1565,2.0434398280590935,38.064536741214056
688051,佳华科技,16,61367,1621,2.4922081642127,37.857495373226406
688085,三友医疗,19,73633,1946,2.340244579641116,37.83812949640288
688231,隆达股份,13,50316,1330,2.194996004611264,37.83157894736842
688370,丛麟科技,14,52001,1377,2.0777178722805023,37.76397966594045
688073,毕得医药,15,56176,1490,2.312100753551937,37.702013422818794
688565,力源科技,11,42414,1127,2.149498957663777,37.63442768411713
688355,明志科技,14,51280,1364,2.287989031208063,37.59530791788856
688768,容知日新,13,48471,1290,2.1160544159051704,37.574418604651164
688360,德马科技,18,68246,1838,2.384552045469914,37.130576713819366
688234,天岳先进,7,27186,733,2.0261742122305786,37.08867667121419
688102,斯瑞新材,12,45493,1228,2.184415985469239,37.04641693811075
688031,星环科技,17,63372,1711,2.2698777639732794,37.037989479836355
688076,诺泰生物,22,81857,2221,2.2358126230709527,36.855920756416026
688316,青云科技,16,61764,1677,2.043347801139274,36.830053667262966
688050,爱博医疗,17,64772,1762,1.9995996635424362,36.760499432463114
688611,杭州柯林,10,36978,1006,2.281135753248257,36.75745526838966
688093,世华科技,14,54167,1479,2.4645676044654308,36.624070317782284
688232,新点软件,16,61550,1696,2.575585012819261,36.29127358490566
688330,宏力达,14,54307,1497,2.616930649389982,36.27722110888443
688192,迪哲医药,14,52873,1460,2.0291189818270405,36.214383561643835
688092,爱科科技,14,51379,1422,2.2941462928469023,36.13150492264416
688222,成都先导,12,45784,1278,2.0768837089263537,35.82472613458529
688356,键凯科技,12,44182,1234,2.004388716180331,35.80388978930308
688119,中钢洛耐,13,48427,1356,2.3429969141087272,35.71312684365782
688281,华秦科技,11,40527,1137,2.180979275891833,35.64379947229551
688331,荣昌生物,20,77286,2169,1.990032069068936,35.632088520055326
688039,当虹科技,12,46361,1303,2.0611228152978778,35.58019953952417
688218,江苏北人,14,54396,1530,2.3716555381265514,35.55294117647059
688133,泰坦科技,11,42211,1189,2.1355866379713464,35.50126156433978
688211,中科微至,9,32698,922,2.1366208560810627,35.46420824295011
688569,铁科轨道,13,48192,1362,2.231954221684251,35.38325991189427
688176,亚虹医药,15,58375,1657,1.9459185359926987,35.22933011466506
688496,清越科技,9,34669,985,2.15694473312171,35.19695431472081
688065,凯赛生物,11,40272,1145,2.0828203943924475,35.172052401746726
688182,灿勤科技,10,39173,1114,2.224689967315867,35.16427289048474
688187,时代电气,15,56149,1598,2.119565665957282,35.13704630788486
688045,必易微,9,31558,904,2.184046134372956,34.90929203539823
688399,硕世生物,18,69908,2005,2.193736765838221,34.866832917705736
688298,东方生物,19,71742,2060,2.2265387279182955,34.82621359223301
688314,康拓医疗,10,35479,1025,2.1781929643613944,34.61365853658537
688272,富吉瑞,17,65369,1891,2.361830018978709,34.56848228450555
688456,有研粉材,12,44871,1300,2.534620323805331,34.51615384615385
688339,亿华通,16,60649,1761,2.0901615556091264,34.44009085746735
688520,神州细胞,17,63933,1857,1.992110961204131,34.4281098546042
688053,思科瑞,12,44653,1297,2.1687037187449825,34.42791056283732
688351,微电生理,11,40275,1174,2.121766054817206,34.305792163543444
688139,海尔生物,10,38719,1132,2.4561329885627132,34.20406360424028
688567,孚能科技,16,62829,1837,1.968475500288492,34.20195971692978
688682,霍莱沃,10,35635,1047,2.1046580854845907,34.03533906399236
688626,翔宇医疗,16,61487,1811,2.4351655410461808,33.95196024295969
688121,卓然股份,12,45860,1354,2.071673489062166,33.870014771048744
688503,聚和材料,7,26401,780,2.2838146400854824,33.8474358974359
688278,特宝生物,28,105676,3142,2.644321329635672,33.63335455124125
688689,银河微电,14,50998,1517,2.403338352777941,33.61766644693474
688617,惠泰医疗,19,71647,2132,2.175908558730608,33.60553470919324
688328,深科达,12,45721,1361,2.220089987184252,33.59368111682586
688116,天奈科技,11,42454,1264,2.047242689370945,33.587025316455694
688526,科前生物,18,69850,2080,2.503903880752217,33.58173076923077
688195,腾景科技,11,40271,1214,2.189035602334805,33.172158154859964
688553,汇宇制药,14,52631,1587,2.2702819400122656,33.16383112791431
688622,禾信仪器,15,54970,1659,2.3193988277467765,33.134418324291744
688555,泽达易盛,17,64055,1942,2.382692845972879,32.984037075180225
688155,先惠技术,13,47128,1436,2.0564104424613494,32.81894150417827
688052,纳芯微,11,39812,1214,2.3246022801471757,32.79406919275124
688489,三未信安,10,36020,1101,2.5377885648173626,32.71571298819255
688027,国盾量子,17,63094,1930,2.229230766122928,32.69119170984456
688290,景业智能,11,40227,1233,2.017921671999544,32.62530413625304
688606,奥泰生物,15,55529,1705,2.3481097623341487,32.5683284457478
688311,盟升电子,14,51851,1598,2.2510093891102665,32.447434292866085
688117,圣诺生物,16,60582,1869,2.0887818739119526,32.414125200642054
688103,国力股份,14,51448,1593,2.154380165810596,32.2962962962963
688366,昊海生科,22,83604,2594,2.281516447871805,32.22976098689283
688221,前沿生物,16,60983,1898,2.418091344134041,32.13013698630137
688086,紫晶存储,20,76491,2384,2.17628126208842,32.085151006711406
688403,汇成股份,8,31268,975,2.038072776434659,32.06974358974359
688271,联影医疗,17,64985,2033,2.3290576002031704,31.965076242006887
688035,德邦科技,10,35946,1125,2.1260290082756343,31.952
688159,有方科技,19,72217,2261,2.4036535931636096,31.94029190623618
688108,赛诺医疗,18,67467,2115,2.2958270903017803,31.899290780141843
688021,奥福环保,15,57105,1792,2.259002931004923,31.866629464285715
688212,澳华内镜,13,47191,1487,2.340543744725915,31.735709482178883
688683,莱尔科技,13,47417,1495,2.143597106377517,31.71705685618729
688779,长远锂科,13,49557,1563,2.36105455807445,31.706333973128597
688233,神工股份,7,26477,836,2.313088712461234,31.67105263157895
688200,华峰测控,11,39372,1245,2.121976773954153,31.62409638554217
688398,赛特新材,13,46669,1479,2.0760120896704786,31.554428668018932
688410,山外山,11,40054,1293,2.144395197315491,30.97757153905646
688141,杰华特,9,32050,1035,2.2245040216550254,30.966183574879228
688459,哈铁科技,15,53752,1745,2.3867089855874526,30.803438395415473
688060,云涌科技,10,38320,1255,2.1855711724047544,30.53386454183267
688676,金盘科技,16,59641,1958,2.5863900709357144,30.460163432073543
688819,天能股份,9,34796,1143,2.059060130915741,30.442694663167103
688668,鼎通科技,9,35164,1156,2.1586397530828125,30.418685121107266
688038,中科通达,13,50333,1655,2.309485930164878,30.412688821752266
688580,伟思医疗,12,44910,1477,2.120481941599822,30.4062288422478
688380,中微半导,8,28628,956,2.102600986120589,29.94560669456067
688381,帝奥微,10,37756,1265,2.2272934673036717,29.846640316205534
688172,燕东微,11,39110,1314,2.231136450507368,29.764079147640793
688167,炬光科技,11,41759,1428,2.4309503293323287,29.24299719887955
688416,恒烁股份,12,43579,1491,2.168553723488521,29.2280348759222
688318,财富趋势,14,53303,1824,2.2301261893908997,29.22313596491228
688655,迅捷兴,13,49521,1697,2.095789418771542,29.181496758986448
688686,奥普特,11,41158,1413,2.409620920115851,29.12809624911536
688183,生益电子,18,69475,2389,2.4500427777248555,29.081205525324403
688521,芯原股份,9,32877,1134,1.9744387414824343,28.99206349206349
688238,和元生物,10,37881,1321,1.9694976755680949,28.676003028009085
688322,奥比中光,3,9804,343,1.740829772079772,28.583090379008745
688663,新风光,11,40056,1458,2.3578659241051465,27.473251028806583
688078,龙软科技,18,68988,2556,2.4415540942051117,26.990610328638496
688126,沪硅产业,10,37878,1412,1.8188632215348022,26.825779036827196
688168,安博通,9,34287,1279,2.291448703883911,26.80766223612197
688075,安旭生物,15,56776,2123,2.4237082705922313,26.74328780028262
688357,建龙微纳,13,48840,1828,2.5104564637263085,26.717724288840262
688529,豪森股份,16,59876,2244,2.560870517163033,26.68270944741533
688115,思林杰,11,42393,1594,2.451402707448206,26.595357590966124
688135,利扬芯片,11,39616,1493,2.213283072620665,26.534494306764902
688367,工大高科,13,47451,1795,2.5248362487756277,26.43509749303621
688376,美埃科技,2,5796,224,1.8784922394678492,25.875
688475,萤石网络,13,49032,1908,2.3379631507221474,25.69811320754717
