sample,model,dep_var,N,coef,se_HC1,t_HC1,p_HC1,adj_r2,formula,error
candidate566_full,current_controls_fe,FInvention,554,-0.03331740522745543,0.02240989506696979,-1.4867274089365259,0.13708682055456764,0.3292855166710118,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_ipo + Age + C(listing_year_fe) + C(industry_fe),
candidate566_full,current_controls_fe,BHAR,564,0.007007115561446017,0.009769901080832014,0.717214586255492,0.4732417004527595,-0.006785696911910888,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_ipo + Age + C(listing_year_fe) + C(industry_fe),
candidate566_full,current_controls_fe,FSales_Growth,561,0.022320160215926206,0.03248717022836935,0.6870453800385229,0.49205413202363013,0.20678632604073588,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_ipo + Age + C(listing_year_fe) + C(industry_fe),
candidate566_full,segment_controls_fe,FInvention,540,-0.0345279850273133,0.02232190126018802,-1.546820973036706,0.12190642140029251,0.33177971809239815,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),
candidate566_full,segment_controls_fe,BHAR,550,0.007492622003079635,0.010099909286172867,0.7418504256604858,0.45817796471986183,0.005655065909289214,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),
candidate566_full,segment_controls_fe,FSales_Growth,550,0.01857453677044716,0.02398641374566831,0.774377402449398,0.4387076429294946,0.1401627034549563,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),
candidate566_full,ipo_pre_fin_controls_fe,FInvention,540,-0.03540438163417125,0.022276278643373695,-1.5893310638176381,0.11198566908697832,0.3245076851086359,FInvention ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),
candidate566_full,ipo_pre_fin_controls_fe,BHAR,550,0.008207763821932739,0.010104101785461622,0.8123199861013429,0.41660804529907636,0.006681348162414724,BHAR ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),
candidate566_full,ipo_pre_fin_controls_fe,FSales_Growth,550,0.02521643492217128,0.023544576002112932,1.0710082407051336,0.28416572432444065,0.14773680815850954,FSales_Growth ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),
candidate566_full,ipo_pre_fin_controls_rd_staff_fe,FInvention,539,-0.03677389263763331,0.02196964857351151,-1.6738498349022781,0.09416011532849553,0.33705527085711096,FInvention ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
candidate566_full,ipo_pre_fin_controls_rd_staff_fe,BHAR,549,0.007886803499120363,0.010129017596922973,0.7786345934986076,0.4361949950484968,0.007453883455568855,BHAR ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
candidate566_full,ipo_pre_fin_controls_rd_staff_fe,FSales_Growth,549,0.02482369965696424,0.02348946184870109,1.0568015485777054,0.2906021674267053,0.15050024024385944,FSales_Growth ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
candidate566_2019_2022,current_controls_fe,FInvention,487,-0.026887218601373927,0.025178635180874688,-1.0678584604854617,0.2855843627266821,0.3224480235164837,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_ipo + Age + C(listing_year_fe) + C(industry_fe),
candidate566_2019_2022,current_controls_fe,BHAR,497,0.005444203600345768,0.010841798837797035,0.5021494755433026,0.6155623800202146,0.004492234177653764,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_ipo + Age + C(listing_year_fe) + C(industry_fe),
candidate566_2019_2022,current_controls_fe,FSales_Growth,494,0.017336840421816727,0.036793544098025856,0.4711924563621184,0.6375033052387313,0.17226528114526218,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_ipo + Age + C(listing_year_fe) + C(industry_fe),
candidate566_2019_2022,segment_controls_fe,FInvention,475,-0.024259508037417006,0.02526311428619981,-0.960273850744877,0.3369174070703015,0.3292362054488661,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),
candidate566_2019_2022,segment_controls_fe,BHAR,485,0.005306004558643145,0.0111792052880449,0.47463164168900396,0.6350495490679464,0.015472828954338325,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),
candidate566_2019_2022,segment_controls_fe,FSales_Growth,485,0.02429333746176998,0.02800665552944154,0.8674130131758148,0.3857157542660111,0.12605695035470577,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),
candidate566_2019_2022,ipo_pre_fin_controls_fe,FInvention,475,-0.025725688607705452,0.025261603812493646,-1.0183711532591722,0.30850160570094265,0.32512615802550493,FInvention ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),
candidate566_2019_2022,ipo_pre_fin_controls_fe,BHAR,485,0.005872037594268867,0.01121724997052791,0.5234828152797699,0.6006383067235421,0.015581044548991563,BHAR ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),
candidate566_2019_2022,ipo_pre_fin_controls_fe,FSales_Growth,485,0.03106039791471756,0.027541283553214755,1.1277759750994625,0.2594145421052143,0.13468524801430426,FSales_Growth ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),
candidate566_2019_2022,ipo_pre_fin_controls_rd_staff_fe,FInvention,474,-0.027740563877654462,0.02505649190541686,-1.1071208205190666,0.2682416948642703,0.33309596489538795,FInvention ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
candidate566_2019_2022,ipo_pre_fin_controls_rd_staff_fe,BHAR,484,0.005198047710071843,0.011245409183658003,0.46223731170455973,0.6439111490245908,0.01768833711976847,BHAR ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
candidate566_2019_2022,ipo_pre_fin_controls_rd_staff_fe,FSales_Growth,484,0.030381379102028747,0.027589777626004394,1.1011824565556905,0.2708172554595214,0.13804880084055582,FSales_Growth ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
